strategy,ticker,total_return_contribution,contribution_share_abs
equal_weight_monthly,SLV,0.34099190789359407,0.28235328343026533
equal_weight_monthly,GLD,0.2461644554832723,0.2038328202533602
equal_weight_monthly,CPER,0.22521074305273914,0.18648240997130508
equal_weight_monthly,USO,0.15598510672280222,0.12916115024977975
equal_weight_monthly,DBA,0.08490529111331918,0.07030456492219464
equal_weight_monthly,UNG,-0.15442070563832436,0.12786577117309494
gold_only_monthly,GLD,1.4769867328996344,1.0
gold_only_monthly,CPER,0.0,0.0
gold_only_monthly,DBA,0.0,0.0
gold_only_monthly,SLV,0.0,0.0
gold_only_monthly,UNG,0.0,0.0
gold_only_monthly,USO,0.0,0.0
cash_monthly,CPER,0.0,
cash_monthly,DBA,0.0,
cash_monthly,GLD,0.0,
cash_monthly,SLV,0.0,
cash_monthly,UNG,0.0,
cash_monthly,USO,0.0,
momentum_only_monthly,GLD,0.34440125227567425,0.2749688957719633
momentum_only_monthly,USO,0.2776767516644171,0.22169626063262535
momentum_only_monthly,SLV,0.24458446498904224,0.1952754811912848
momentum_only_monthly,DBA,0.14001554371646302,0.11178797751818226
momentum_only_monthly,CPER,0.06748840987964576,0.0538825379390834
momentum_only_monthly,UNG,-0.1783434343034096,0.1423888469468609
trend_only_monthly,GLD,0.42557336978624827,0.33529906203069865
trend_only_monthly,SLV,0.28889773840026167,0.22761560658048485
trend_only_monthly,DBA,0.17364861501492818,0.1368135834408047
trend_only_monthly,USO,0.13307305824577353,0.10484507438464773
trend_only_monthly,CPER,0.11249885180195199,0.08863515005102643
trend_only_monthly,UNG,-0.13554355998046855,0.10679152351233752
volatility_only_monthly,GLD,0.46230090499974563,0.484365165590314
volatility_only_monthly,CPER,0.19069084856030336,0.19979196112436692
volatility_only_monthly,DBA,0.15683968619880778,0.16432518248446912
volatility_only_monthly,USO,0.0984902179591202,0.10319086598115491
volatility_only_monthly,SLV,0.03866655336969867,0.04051199407825324
volatility_only_monthly,UNG,0.007458842172899147,0.00781483074144166
risk_only_monthly,GLD,0.335494832031227,0.30538961868490394
risk_only_monthly,CPER,0.26952168597155274,0.24533649119967307
risk_only_monthly,USO,0.17826429262618693,0.16226796705225618
risk_only_monthly,DBA,0.15981919131352243,0.14547801406736272
risk_only_monthly,SLV,0.10201578640099626,0.09286152612312393
risk_only_monthly,UNG,0.05346389971521416,0.04866638287268012
momentum_trend_monthly,GLD,0.30666707912607866,0.24722931394974115
momentum_trend_monthly,SLV,0.2763871221760493,0.2228181740108965
momentum_trend_monthly,USO,0.2405766857200474,0.19394846402282734
