strategy,benchmark,alpha_daily,alpha_annualised,beta,r_squared,correlation,tracking_error,information_ratio
full_v0_old_raw_weights_monthly,equal_weight_monthly,0.000283360828465539,0.07400732216405626,0.4869196714591497,0.5127873718458326,0.716091734239289,0.08113235433348927,0.9121801378997825
momentum_only_monthly,equal_weight_monthly,0.0002743480576930321,0.07157146362969224,0.7389325703776056,0.5373060694345568,0.733011643450878,0.11721602476184254,0.6105945306975722
signal_x_risk_modifier_monthly,equal_weight_monthly,0.00026768254411039855,0.06977353263523511,0.21537236563879134,0.19809507097664414,0.44507872447090074,0.07407313676234685,0.9419546097945547
risk_only_monthly,equal_weight_monthly,0.00026054334430544913,0.06785116371940592,0.48064212396009415,0.49255049291852515,0.701819416173794,0.0833948092393014,0.8136137529220435
volatility_only_monthly,equal_weight_monthly,0.0002599528755270631,0.06769232261686486,0.40615484279491004,0.4693123591707745,0.6850637628504186,0.07382887963001238,0.9168813471923131
momentum_trend_volatility_monthly,equal_weight_monthly,0.00024916958470513136,0.06479566177450469,0.6391589069285663,0.4850506093320499,0.6964557482942113,0.11257546340924854,0.5755753501893331
momentum_trend_risk_monthly,equal_weight_monthly,0.00024487665709854213,0.06364465394831376,0.6572696432013629,0.4867344005720783,0.69766352962734,0.11537581537242099,0.5516290718542314
full_v0_normalised_monthly,equal_weight_monthly,0.00023822548768759368,0.06186380780559109,0.4422744691647361,0.45946512473500667,0.6778385683442678,0.08200184136986127,0.7544197395100001
momentum_trend_monthly,equal_weight_monthly,0.0002122025138251643,0.05492466892722336,0.6901724512736318,0.4959763905288239,0.7042559126687002,0.11893199647827542,0.46181574810489384
trend_only_monthly,equal_weight_monthly,0.00018555134892389713,0.04786483398239838,0.6512405051307396,0.47364356289775045,0.6882176711606222,0.11735502898547133,0.407863509524795
cash_monthly,equal_weight_monthly,0.0,0.0,0.0,,,0.0,
signal_x_risk_modifier_monthly,gold_only_monthly,0.00018145964490525582,0.04678512556565173,0.2905021187128536,0.3200277595515165,0.5657099606260407,0.06820950316554361,0.6859033330312466
momentum_only_monthly,gold_only_monthly,0.0001701675699525167,0.04381114704240563,0.6301775401198457,0.347003055006856,0.5890696520844172,0.13925014694554758,0.31462190886978064
full_v0_old_raw_weights_monthly,gold_only_monthly,0.0001655539716169776,0.04259849287473716,0.5092680678182612,0.4980935323515775,0.7057574174966759,0.08234670130037564,0.5173066097614628
risk_only_monthly,gold_only_monthly,0.00015633519059858283,0.0401795982038593,0.4795997113144647,0.43547201783025535,0.6599030366881601,0.08796002394580983,0.4567938524961412
volatility_only_monthly,gold_only_monthly,0.00015155841047709612,0.0389284292894585,0.44416623593476945,0.49838519546482607,0.7059640185341076,0.07177810097238035,0.5423440960696055
momentum_trend_risk_monthly,gold_only_monthly,0.0001298635240737638,0.03326478478647532,0.6032703982480049,0.3641029972685491,0.6034094772777016,0.12842130932124332,0.25902854411228693
momentum_trend_volatility_monthly,gold_only_monthly,0.00012570064524225065,0.032181549748017346,0.6088801664123809,0.3908664091499414,0.6251930974906403,0.12243842766440591,0.2628386394851822
full_v0_normalised_monthly,gold_only_monthly,0.00011928915709601422,0.03051540960897725,0.48539182830620325,0.49141574093888796,0.7010105141428965,0.07954139473862996,0.3836418723766379
momentum_trend_monthly,gold_only_monthly,9.846663295913873e-05,0.02512275862408453,0.6200160417471586,0.3554241600885346,0.5961746053703851,0.134496282598425,0.1867914721412436
trend_only_monthly,gold_only_monthly,7.171459814990733e-05,0.018235707131200263,0.5975044839179622,0.3540352439435328,0.5950086082936387,0.1300068236060364,0.14026730771040508
cash_monthly,gold_only_monthly,0.0,0.0,0.0,,,0.0,
