date,strategy,equity,benchmark_equity,drawdown,regime
2019-01-02,full_v0,9996.988627855499,10004.461420139507,0.0,2019_late_cycle
2019-01-03,full_v0,10061.433601978695,10026.681619363937,0.0,2019_late_cycle
2019-01-04,full_v0,10029.849775321361,10150.914343901188,-0.0031390980556808,2019_late_cycle
2019-01-07,full_v0,10070.171221868974,10135.08251241176,0.0,2019_late_cycle
2019-01-08,full_v0,10086.400242752141,10216.361696154028,0.0,2019_late_cycle
2019-01-09,full_v0,10123.394986787518,10350.46837542265,0.0,2019_late_cycle
2019-01-10,full_v0,10057.215173739924,10287.894079261832,-0.0065373141257421,2019_late_cycle
2019-01-11,full_v0,10078.607844903096,10372.82727892975,-0.004424122731838009,2019_late_cycle
2019-01-14,full_v0,10074.395522589548,10562.793827488222,-0.004840220525023531,2019_late_cycle
2019-01-15,full_v0,10046.546920319532,10547.312433678273,-0.007591135836177765,2019_late_cycle
2019-01-16,full_v0,10063.69839538613,10557.773924720355,-0.00589689441924357,2019_late_cycle
2019-01-17,full_v0,10068.779931092327,10571.60574491421,-0.005394934778942373,2019_late_cycle
2019-01-18,full_v0,10027.589662809192,10603.778338123022,-0.00946375441276015,2019_late_cycle
2019-01-22,full_v0,10014.671795494452,10420.533818155423,-0.0107397954376931,2019_late_cycle
2019-01-23,full_v0,10023.869343921775,10397.882461246863,-0.009831251570805888,2019_late_cycle
2019-01-24,full_v0,10012.226114985258,10440.197266173678,-0.01098138242628588,2019_late_cycle
2019-01-25,full_v0,10091.455571526378,10594.990616831497,-0.0031550102809211333,2019_late_cycle
2019-01-28,full_v0,10110.656328089914,10429.687890711468,-0.0012583386022406717,2019_late_cycle
2019-01-29,full_v0,10125.80316570029,10500.849081272632,0.0,2019_late_cycle
2019-01-30,full_v0,10165.307079276348,10584.880806118987,0.0,2019_late_cycle
2019-01-31,full_v0,10152.359382554148,10550.365028457005,-0.001273714273580251,2019_late_cycle
2019-02-01,full_v0,10121.554752275628,10511.885765005201,-0.004304083158482963,2019_late_cycle
2019-02-04,full_v0,10103.795676438296,10476.02466117085,-0.006051111133027476,2019_late_cycle
2019-02-05,full_v0,10108.618766411897,10464.806661221375,-0.005576645390282464,2019_late_cycle
2019-02-06,full_v0,10059.247569570936,10436.85806009615,-0.010433478189914358,2019_late_cycle
2019-02-07,full_v0,10080.777110198165,10333.959788284976,-0.008315535223772264,2019_late_cycle
2019-02-08,full_v0,10100.587220300278,10347.268073342122,-0.006366739191579596,2019_late_cycle
2019-02-11,full_v0,10069.456158096507,10323.545783907479,-0.00942922042908556,2019_late_cycle
2019-02-12,full_v0,10076.461669448818,10367.628606015254,-0.008740061577545255,2019_late_cycle
2019-02-13,full_v0,10042.55328313788,10321.729264056032,-0.012075758772572831,2019_late_cycle
2019-02-14,full_v0,10066.919677704647,10331.9851699903,-0.009678743672415058,2019_late_cycle
2019-02-15,full_v0,10111.136108638155,10466.002708562684,-0.005329004841243878,2019_late_cycle
2019-02-19,full_v0,10183.73315111125,10580.835795539402,0.0,2019_late_cycle
2019-02-20,full_v0,10187.787573520109,10610.39905863116,0.0,2019_late_cycle
2019-02-21,full_v0,10118.42961806926,10585.496834834534,-0.006807950690994158,2019_late_cycle
2019-02-22,full_v0,10148.001321592768,10646.631222728005,-0.003905288723407674,2019_late_cycle
2019-02-25,full_v0,10136.88842523202,10615.797517991357,-0.004996094384651761,2019_late_cycle
2019-02-26,full_v0,10147.936609292241,10607.586208969815,-0.003911640671763417,2019_late_cycle
2019-02-27,full_v0,10097.692602454294,10651.336353588898,-0.008843428508461204,2019_late_cycle
2019-02-28,full_v0,10062.982933776557,10604.319115901637,-0.012250416377736606,2019_late_cycle
2019-03-01,full_v0,9927.405544996507,10491.093942410896,-0.025558250664784232,2019_late_cycle
2019-03-04,full_v0,9907.471653772885,10488.938086410704,-0.02751489641144611,2019_late_cycle
2019-03-05,full_v0,9937.199617950386,10544.571944637735,-0.024596896407719115,2019_late_cycle
2019-03-06,full_v0,9917.01869449895,10487.366260680474,-0.02657779003214955,2019_late_cycle
2019-03-07,full_v0,9898.969814804062,10480.596578270048,-0.028349409195254083,2019_late_cycle
2019-03-08,full_v0,9968.548114863495,10524.911026274776,-0.021519830196151335,2019_late_cycle
2019-03-11,full_v0,9955.225518040137,10477.147838455212,-0.022827532847705,2019_late_cycle
2019-03-12,full_v0,10007.264129491174,10540.992444666932,-0.017719592475421098,2019_late_cycle
2019-03-13,full_v0,10030.666244584114,10622.660166234027,-0.015422517185613605,2019_late_cycle
2019-03-14,full_v0,9925.84996511766,10574.543087197948,-0.02571094131205387,2019_late_cycle
2019-03-15,full_v0,9967.192010803927,10594.103165932753,-0.021652940947605726,2019_late_cycle
2019-03-18,full_v0,9980.934862183234,10651.516329163653,-0.020303987479530994,2019_late_cycle
2019-03-19,full_v0,9994.710460408605,10660.053683748236,-0.01895181968785309,2019_late_cycle
2019-03-20,full_v0,10044.40773666782,10719.307805911034,-0.014073697141561814,2019_late_cycle
2019-03-21,full_v0,10010.253105234688,10691.03884757819,-0.01742620436520137,2019_late_cycle
2019-03-22,full_v0,9963.363254137816,10584.179058033758,-0.02202875921418035,2019_late_cycle
2019-03-25,full_v0,10003.890031211353,10621.910530140722,-0.01805078295769913,2019_late_cycle
2019-03-26,full_v0,9978.674357213049,10618.610893888084,-0.02052587127460148,2019_late_cycle
2019-03-27,full_v0,9942.990166925383,10548.641521952863,-0.02402851500663372,2019_late_cycle
2019-03-28,full_v0,9877.18056277416,10493.599400639921,-0.030488171107264872,2019_late_cycle
2019-03-29,full_v0,9936.542948376316,10510.824467904069,-0.02466135295133376,2019_late_cycle
2019-04-01,full_v0,9917.108028060526,10580.43365210655,-0.026569021341113053,2019_late_cycle
2019-04-02,full_v0,9910.975756373915,10600.895668182984,-0.027170945129016744,2019_late_cycle
2019-04-03,full_v0,9942.256247395622,10621.969023626889,-0.024100554153942744,2019_late_cycle
2019-04-04,full_v0,9924.431445236456,10607.3647082474,-0.02585017859698635,2019_late_cycle
2019-04-05,full_v0,9896.579358129045,10626.892793650564,-0.028584048625823755,2019_late_cycle
2019-04-08,full_v0,9951.347374166504,10730.317362476118,-0.023208198801490054,2019_late_cycle
